,Code,Product label,,,,,,,,,,,,HS6Desc,BEC5Code1
99,170114,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter (excluding ...",,,,,,,,,,,,"Sugars; cane sugar, raw, in solid form, other than as specified in Subheading Note 2 to this chapter, not containing added flavouring or colouring matter",111210
100,290511,"Methanol """"methyl alcohol""""""""",,,,,,,,,,,,"Alcohols; saturated monohydric, methanol (methyl alcohol)",211220
101,330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",,,,,,,,,,,,"Cosmetic and toilet preparations; n.e.c. in heading no. 3304, for the care of the skin (excluding medicaments, including sunscreen or sun tan preparations)",713101
102,852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,,,,,,,,,,,,Monitors; other than cathode-ray tube; capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71,613202
103,901210,"Electron microscopes, proton microscopes and diffraction apparatus",,,,,,,,,,,,Microscopes (excluding optical microscopes); diffraction apparatus,712020
104,850450,Inductors (excluding inductors for discharge lamps or tubes),,,,,,,,,,,,Electrical inductors; n.e.c. in heading no. 8504,312
105,281410,Anhydrous ammonia,,,,,,,,,,,,Ammonia; anhydrous,211220
106,120190,"Soya beans, whether or not broken (excluding seed for sowing)",,,,,,,,,,,,"Soya beans; other than seed, whether or not broken",1111
107,284420,"Uranium enriched in U 235 and its compounds: plutonium and its compounds; alloys, dispersions, ...",,,,,,,,,,,,"Uranium; enriched in U235, plutonium, their compounds, alloys dispersions (including cermets), ceramic products and mixtures containing uranium enriched in U235, plutonium or compounds of these products",211220
108,401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",,,,,,,,,,,,"Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",511210
109,721420,"Bars and rods, of iron or non-alloy steel, with indentations, ribs, groves or other deformations ...",,,,,,,,,,,,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",511210
110,470329,"Semi-bleached or bleached non-coniferous chemical wood pulp, soda or sulphate (excluding dissolving ...",,,,,,,,,,,,"Wood pulp; chemical wood pulp, soda or sulphate, (other than dissolving grades), semi-bleached or bleached, of non-coniferous wood",211210
111,720712,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...""",,,,,,,,,,,,"Iron or non-alloy steel; semi-finished products of iron or non-alloy steel; containing by weight less than 0.25% of carbon, of rectangular (other than square) cross-section",511210
112,282520,Lithium oxide and hydroxide,,,,,,,,,,,,Lithium oxide and hydroxide,211220
113,392119,"Plates, sheets, film, foil and strip, of cellular plastic, unworked or merely surface-worked ...",,,,,,,,,,,,"Plastics; plates, sheets, film, foil and strip, of plastics n.e.c. in heading no. 3921, cellular",311220
114,720241,"Ferro-chromium, containing by weight > 4% of carbon",,,,,,,,,,,,"Ferro-alloys; ferro-chromium, containing by weight more than 4% of carbon",511210
115,151190,"Palm oil and its fractions, whether or not refined (excluding chemically modified and crude)",,,,,,,,,,,,"Vegetable oils; palm oil and its fractions, other than crude, whether or not refined, but not chemically modified",111210
116,903149,"Optical instruments, appliances and machines for measuring or checking, not elsewhere specified ...",,,,,,,,,,,,"Optical instruments and appliances; for measuring or checking, n.e.c. in chapter 90",212
117,900211,"Objective lenses for cameras, projectors or photographic enlargers or reducers",,,,,,,,,,,,"Lenses; objective, for cameras, projectors or photographic enlargers or reducers, mounted, being parts or fittings for instruments or apparatus, of any material (excluding glass not optically worked)",711220
118,890120,Tankers,,,,,,,,,,,,Tankers,512
119,640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excluding ...,,,,,,,,,,,,"Footwear; (other than sportswear), with outer soles of rubber or plastics and uppers of textile materials",413202
120,640299,Footwear with outer soles and uppers of rubber or plastics (excluding covering the ankle or ...,,,,,,,,,,,,"Footwear; n.e.c. in heading no. 6402, (other than just covering the ankle), with outer soles and uppers of rubber or plastics",413202
121,620193,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",,,,,,,,,,,,"Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles; men's or boys', of man-made fibres, other than those of heading no. 6203 (not knitted or crocheted)",413202
122,903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,,,,,,,,,,,,"Instruments, apparatus for measuring, checking electrical quantities, not meters of heading no. 9028; parts and accessories, for measuring or detecting alpha, beta, gamma, x-ray, cosmic and other radiations",711220
123,750210,"Nickel, not alloyed, unwrought",,,,,,,,,,,,"Nickel; unwrought, not alloyed",311210
124,854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),,,,,,,,,,,,"Electrical apparatus; transistors, (other than photosensitive), with a dissipation rate of 1W or more",611220
125,902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",,,,,,,,,,,,"Instruments and apparatus; for physical or chemical analysis, for measuring or checking viscosity, porosity, expansion, surface tension or quantities of heat, sound or light, n.e.c. in heading no. 9027",712020
126,840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",,,,,,,,,,,,Engines; parts for internal combustion piston engines (excluding spark-ignition),511220
127,841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",,,,,,,,,,,,"Pumps and compressors; parts, of air or vacuum pumps, air or other gas compressors and fans, ventilating or recycling hoods incorporating a fan",311210
128,420222,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",,,,,,,,,,,,"Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of sheeting of plastics or of textile materials",513202
129,391000,Silicones in primary forms,,,,,,,,,,,,Silicones; in primary forms,211210
130,610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",,,,,,,,,,,,"T-shirts, singlets and other vests; of cotton, knitted or crocheted",413202
131,901320,Lasers (excluding laser diodes),,,,,,,,,,,,Lasers; other than laser diodes,712
132,370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",,,,,,,,,,,,"Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use",611220
133,741021,"Refined copper foil, backed, of a thickness """"excluding any backing"""" of <= 0,15 mm (excluding ...""",,,,,,,,,,,,"Copper; foil, backed with paper, paperboard, plastics or similar backing material, of a thickness (excluding any backing) not exceeding 0.15mm, of refined copper",311210
134,847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",,,,,,,,,,,,"Units of automatic data processing machines; input or output units, whether or not containing storage units in the same housing",612020
135,270730,"Xylol """"xylenes"""" containing > 50% of xylenes (excluding chemically defined)""""",,,,,,,,,,,,Oils and products of the distillation of high temperature coal tar; xylol (xylenes),211220
136,854110,Diodes (excluding photosensitive or light emitting diodes),,,,,,,,,,,,"Electrical apparatus; diodes, other than photosensitive or light-emitting diodes (LED)",611220
137,901910,Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus,,,,,,,,,,,,Mechano-therapy appliances; massage apparatus and psychological aptitude-testing apparatus,712020
138,847990,"Parts of machines and mechanical appliances, n.e.s.",,,,,,,,,,,,"Machines and mechanical appliances; parts, of those having individual functions",311220
139,392062,"Plates, sheets, film, foil and strip, of non-cellular poly""""ethylene terephthalate"""", not ...""",,,,,,,,,,,,"Plastics; plates, sheets, film, foil and strip (not self-adhesive), of poly(ethylene terephthalate), non-cellular and not reinforced, laminated, supported or similarly combined with other materials",311220
140,840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,,,,,,,,,,,,"Engines; parts, suitable for use solely or principally with spark-ignition internal combustion piston engines (for other than aircraft)",511220
141,880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",,,,,,,,,,,,Aircraft and spacecraft; parts of aeroplanes or helicopters n.e.c. in heading no. 8803,5112
142,620293,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",,,,,,,,,,,,"Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles; women's or girls', of man-made fibres, other than those of heading no. 6204 (not knitted or crocheted)",413202
143,720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",,,,,,,,,,,,Ferrous waste and scrap; of stainless steel,511220
144,392099,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",,,,,,,,,,,,"Plastics; plates, sheets, film, foil and strip (not self-adhesive), of plastics n.e.c. in heading no. 3920, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",311220
145,841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",,,,,,,,,,,,"Pumps and compressors; for air, vacuum or gas, n.e.c. in heading no. 8414",313202
146,901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",,,,,,,,,,,,"Medical, surgical instruments and appliances; catheters, cannulae and the like",711220
147,900190,"Lenses, prisms, mirrors and other optical elements, of any material, unmounted (excluding such ...",,,,,,,,,,,,"Optical elements; lenses n.e.c. in heading no. 9001, prisms, mirrors and other optical elements, unmounted, of any material (excluding elements of glass not optically worked)",711220
148,870333,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",,,,,,,,,,,,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 2500cc",513202
149,870332,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",,,,,,,,,,,,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 1500 but not over 2500cc",513202
150,844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",,,,,,,,,,,,"Printing machinery; parts and accessories, n.e.c. in item no. 8443.91",611220
151,843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",,,,,,,,,,,,"Machinery; parts of machines handling earth, minerals or ores and n.e.c. in heading no. 8431",211210
152,841430,Compressors for refrigerating equipment,,,,,,,,,,,,Compressors; of a kind used in refrigerating equipment,212010
153,842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,,,,,,,,,,,,"Machinery; for filtering or purifying gases, other than intake air filters for internal combustion engines",212010
154,400122,"Technically specified natural rubber """"TSNR""""""""",,,,,,,,,,,,"Rubber; technically specified natural rubber (TSNR), in primary forms or in plates, sheets or strip (excluding latex and smoked sheets)",1111
155,841112,Turbojets of a thrust > 25 kN,,,,,,,,,,,,Turbo-jets; of a thrust exceeding 25kN,511220
156,853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",,,,,,,,,,,,"Electrical apparatus; n.e.c. in heading no. 8536, for switching or protecting electrical circuits, for a voltage not exceeding 1000 volts",3112
157,392310,"Boxes, cases, crates and similar articles for the conveyance or packaging of goods, of plastics",,,,,,,,,,,,"Plastics; boxes, cases, crates and similar articles for the conveyance or packing of goods",511220
